domain	age	price	tf	sale	end	reason
whattoweartoworkprograms.com	16	9.46	0	Buy Now	2026-05-28 20:11:00	apparel
err-orclothing.com	16	9.46	0	Buy Now	2026-05-28 18:57:00	apparel
theoverstockfashionstore.com	15	25.79	0	Buy Now	2026-05-28 17:23:00	apparel
southerndivawear.com	14	34.39	0	Buy Now	2026-05-28 19:17:00	apparel
allspicefashion.com	12	4.3	0	Buy Now	2026-05-28 18:10:00	apparel
allspicefashions.com	12	4.3	0	Buy Now	2026-05-28 18:34:00	apparel
wardrobeportal.com	12	4.3	0	Buy Now	2026-05-28 16:31:00	apparel
fashionoffender.com	10	42.98	0	Buy Now	2026-05-28 16:52:00	apparel
fashionistaplaza.com	9	25.79	0	Buy Now	2026-05-28 18:41:00	apparel
greater-wear.com	8	34.39	0	Buy Now	2026-05-28 19:38:00	apparel
startexapparel.com	8	42.98	0	Buy Now	2026-05-28 16:28:00	apparel
boutiquecontent.com	7	9.46	0	Buy Now	2026-05-28 16:17:00	apparel
royalclothingbrand.com	6	25.79	8	Buy Now	2026-05-28 16:37:00	apparel
wearepolonum.com	6	42.98	7	Buy Now	2026-05-28 16:18:00	apparel
bornrebelapparel.com	6	42.98	0	Buy Now	2026-05-28 19:12:00	apparel
majorgoodapparel.com	6	9.46	0	Buy Now	2026-05-28 20:15:00	apparel
ladyjaefashions.com	6	25.79	0	Buy Now	2026-05-28 19:02:00	apparel
bizzybeeplaywear.com	6	9.46	0	Buy Now	2026-05-28 17:02:00	apparel
opadfashion.com	5	25.79	0	Buy Now	2026-05-28 19:57:00	apparel
blondies-boutique.com	5	25.79	0	Buy Now	2026-05-28 16:30:00	apparel
iametcboutique.com	5	25.79	0	Buy Now	2026-05-28 21:02:00	apparel
btktclothing.com	5	25.79	0	Buy Now	2026-05-28 20:40:00	apparel
apparelrank.com	5	34.39	0	Buy Now	2026-05-28 17:02:00	apparel
janakaworkwear.com	4	4.3	0	Buy Now	2026-05-28 20:28:00	apparel
wearnftee.com	4	9.46	0	Buy Now	2026-05-28 16:05:00	apparel
deadtouchclothing.com	4	25.79	0	Buy Now	2026-05-28 17:50:00	apparel
eyewearhats.com	4	9.46	0	Buy Now	2026-05-28 16:25:00	apparel
slimthiccfashion.com	4	9.46	0	Buy Now	2026-05-28 17:13:00	apparel
wearekyndmynd.com	3	42.98	0	Buy Now	2026-05-28 16:45:00	apparel
ephemfashion.com	3	42.98	0	Buy Now	2026-05-28 16:44:00	apparel
adaptivehabitsfashion.com	3	34.39	0	Buy Now	2026-05-28 21:03:00	apparel
fashionmadeinturkiye.com	3	34.39	0	Buy Now	2026-05-28 19:31:00	apparel
lilymagsboutique.com	3	25.79	0	Buy Now	2026-05-28 18:38:00	apparel
richstruggleclothing.com	3	42.98	0	Buy Now	2026-05-28 18:29:00	apparel
boutiquedeflo.com	3	4.3	0	Buy Now	2026-05-28 19:08:00	apparel
isomesfashion.com	3	25.79	0	Buy Now	2026-05-28 19:32:00	apparel
klazzifashionboutique.com	3	25.79	0	Buy Now	2026-05-28 16:51:00	apparel
cheekydivasfashion.com	2	34.39	0	Buy Now	2026-05-28 17:14:00	apparel
lostyouthapparel.com	2	34.39	0	Buy Now	2026-05-28 18:05:00	apparel
wearbindacity.com	2	42.98	0	Buy Now	2026-05-28 19:27:00	apparel
ministry-apparel.com	2	42.98	0	Buy Now	2026-05-28 18:59:00	apparel
thedoodlewear.com	2	9.46	0	Buy Now	2026-05-28 18:04:00	apparel
heritagefashionfusion.com	2	34.39	0	Buy Now	2026-05-28 17:36:00	apparel
wearitfit.com	2	9.46	0	Buy Now	2026-05-28 20:49:00	apparel
dadbodclothingcompany.com	2	4.3	0	Buy Now	2026-05-28 16:43:00	apparel
sibboutique.com	2	9.46	0	Buy Now	2026-05-28 16:30:00	apparel
boutique-tenders.com	2	42.98	0	Buy Now	2026-05-28 16:07:00	apparel
remedyyyboutique.com	2	42.98	0	Buy Now	2026-05-28 16:17:00	apparel
drylinewear.com	1	42.98	0	Buy Now	2026-05-28 18:33:00	apparel
lunera-fashion.com	1	4.3	0	Buy Now	2026-05-28 19:47:00	apparel
zorelleclothing.com	1	34.39	0	Buy Now	2026-05-28 18:34:00	apparel
thearmoryclothing.com	1	25.79	0	Buy Now	2026-05-28 19:36:00	apparel
elegantfashionbyamruta.com	1	42.98	0	Buy Now	2026-05-28 17:18:00	apparel
kihu-fashion.com	1	4.3	0	Buy Now	2026-05-28 16:21:00	apparel
adderapparel.com	1	9.46	0	Buy Now	2026-05-28 16:14:00	apparel
daisysblossomboutique.com	1	25.79	0	Buy Now	2026-05-28 16:43:00	apparel
thedoodlewardrobe.com	1	34.39	0	Buy Now	2026-05-28 17:01:00	apparel
vellorafashions.com	1	25.79	0	Buy Now	2026-05-28 16:00:00	apparel
nobadweatherapparel.com	1	25.79	0	Buy Now	2026-05-28 16:54:00	apparel
boutique-diaw.com	1	9.46	0	Buy Now	2026-05-28 16:05:00	apparel
myrawwear.com	1	34.39	0	Buy Now	2026-05-28 18:47:00	apparel
stitchprintapparel.com	1	9.46	0	Buy Now	2026-05-28 16:21:00	apparel
magnetiqueboutiques.com	1	25.79	0	Buy Now	2026-05-28 16:13:00	apparel
weareliveagency.com	1	9.46	0	Buy Now	2026-05-28 19:29:00	apparel
theflyestapparel.com	1	4.3	0	Buy Now	2026-05-28 20:13:00	apparel
moralsclothingcompany.com	1	4.3	0	Buy Now	2026-05-28 16:41:00	apparel
kaavifashion.com	1	9.46	0	Buy Now	2026-05-28 19:12:00	apparel
zairaafricanboutique.com	1	4.3	0	Buy Now	2026-05-28 17:16:00	apparel
goosejuiceapparel.com	1	34.39	0	Buy Now	2026-05-28 19:18:00	apparel
gunmetalclothing.com	1	42.98	0	Buy Now	2026-05-28 18:52:00	apparel
brandboutique-sa.com	1	34.39	0	Buy Now	2026-05-28 18:55:00	apparel
blessthismessboutique.com	1	42.98	0	Buy Now	2026-05-28 17:12:00	apparel
wearvestra.com	1	34.39	0	Buy Now	2026-05-28 18:15:00	apparel
boutiquesfebz.com	1	9.46	0	Buy Now	2026-05-28 17:57:00	apparel
neurodiversewear.com	1	4.3	0	Buy Now	2026-05-28 18:50:00	apparel
fashionfreakus.com	1	4.3	0	Buy Now	2026-05-28 17:41:00	apparel
martisaboutique.com	1	25.79	0	Buy Now	2026-05-28 19:16:00	apparel
jaziahclothing.com	1	9.46	0	Buy Now	2026-05-28 18:22:00	apparel
maxitalianfashion.com	1	4.3	0	Buy Now	2026-05-28 19:03:00	apparel
wearpearofficial.com	1	25.79	0	Buy Now	2026-05-28 16:19:00	apparel
designerclothingsantarosa.com	1	34.39	0	Buy Now	2026-05-28 16:54:00	apparel
hoomancouture.com	1	34.39	0	Buy Now	2026-05-28 16:03:00	apparel
siluetwear.com	1	34.39	0	Buy Now	2026-05-28 16:24:00	apparel
absenceclothing.com	1	34.39	0	Buy Now	2026-05-28 16:27:00	apparel
